especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
AL41,2020-09-07,6000,6000,5452,5489,413011,1599447600
AL41,2020-09-08,5400,5550,5350,5520,383192,1599534000
AL41,2020-09-09,5520,5600,5510,5600,1158284,1599620400
AL41,2020-09-10,5600,5650,5555,5571,362108,1599706800
AL41,2020-09-11,5505,5630,5490,5510,661775,1599793200
AL41,2020-09-14,5510,5600,5390,5430,384442,1600052400
AL41,2020-09-15,5470,5470,5325,5329.5,516798,1600138800
AL41,2020-09-16,5330,5450,5200,5218.5,57655,1600225200
AL41,2020-09-17,5210,5215,4999,5030,105480,1600311600
AL41,2020-09-18,5100,5150,5000,5110,167004,1600398000
AL41,2020-09-21,5100,5110,5010,5088,188167,1600657200
AL41,2020-09-22,5010,5100,5010,5080,474101,1600743600
AL41,2020-09-23,5150,5350,5050,5300,698915,1600830000
AL41,2020-09-24,5300,5400,5150,5260,653996,1600916400
AL41,2020-09-25,5200,5344.5,5120,5299,517883,1601002800
AL41,2020-09-28,5250,5400,5250,5328,422110,1601262000
AL41,2020-09-29,5330,5450,5260,5420,256925,1601348400
AL41,2020-09-30,5420,5528,5375,5430,382389,1601434800
AL41,2020-10-01,5430,5540,5400,5525,702617,1601521200
AL41,2020-10-02,5500,5597,5450,5560,474509,1601607600
AL41,2020-10-05,5530,5614,5520,5614,472267,1601866800
AL41,2020-10-06,5750,5750,5480,5600,310559,1601953200
AL41,2020-10-07,5600,5620,5510.5,5569,470758,1602039600
AL41,2020-10-08,5700,5700,5500,5550,443069,1602126000
AL41,2020-10-09,5686,5740,5572,5695,1122144,1602212400
AL41,2020-10-13,5695,5725,5600,5716,245293,1602558000
AL41,2020-10-14,5650,5750,5611,5675,2241444,1602644400
AL41,2020-10-15,5605,5714.5,5561,5600,6627793,1602730800
AL41,2020-10-16,5650,5680,5450,5517,4513633,1602817200
AL41,2020-10-19,5555,5600,5325,5394,3165794,1603076400
AL41,2020-10-20,5382,5450,5305.5,5430,1647547,1603162800
AL41,2020-10-21,5430,5700,5430,5609,1579700,1603249200
AL41,2020-10-22,5615,5640,5550,5615,1974491,1603335600
AL41,2020-10-23,5675,5675,5420,5460,222196,1603422000
AL41,2020-10-26,5579.5,5579.5,5220,5220,149642,1603681200
AL41,2020-10-27,5300,5300,5090,5100,211537,1603767600
AL41,2020-10-28,5285,5285,4860,4915,685956,1603854000
AL41,2020-10-29,4930,5000,4800,4918,304690,1603940400
AL41,2020-10-30,4920,5000,4810,4838,296942,1604026800
AL41,2020-11-02,4880,4880,4760,4785,258952,1604286000
