especie,ultimo,variacion,anterior,apertura,minimo,maximo,varMTD,varYTD,var6M,var12M,fecha,hora,cierre,timestamp,volumen
DOLAR CCL,3.91279,,,3.91279,3.91279,3.91279,,,,,2010-02-22,,3.91279,1266807600,0
DOLAR CCL,3.93158,,,3.93158,3.93158,3.93158,,,,,2010-02-26,,3.93158,1267153200,0
DOLAR CCL,3.89342,,,3.89342,3.89342,3.89342,,,,,2010-03-09,,3.89342,1268103600,0
DOLAR CCL,3.89512,,,3.89512,3.89512,3.89512,,,,,2010-03-12,,3.89512,1268362800,0
DOLAR CCL,3.91014,,,3.91014,3.91014,3.91014,,,,,2010-03-16,,3.91014,1268708400,0
DOLAR CCL,3.92048,,,3.92048,3.92048,3.92048,,,,,2010-03-17,,3.92048,1268794800,0
DOLAR CCL,3.85003,,,3.85003,3.85003,3.85003,,,,,2010-03-25,,3.85003,1269486000,0
DOLAR CCL,3.87126,,,3.87126,3.87126,3.87126,,,,,2010-04-09,,3.87126,1270782000,0
DOLAR CCL,3.8994,,,3.8994,3.8994,3.8994,,,,,2010-04-12,,3.8994,1271041200,0
DOLAR CCL,3.86548,,,3.86548,3.86548,3.86548,,,,,2010-04-13,,3.86548,1271127600,0
DOLAR CCL,3.86787,,,3.86787,3.86787,3.86787,,,,,2010-04-19,,3.86787,1271646000,0
DOLAR CCL,3.85505,,,3.85505,3.85505,3.85505,,,,,2010-04-27,,3.85505,1272337200,0
DOLAR CCL,3.91539,,,3.91539,3.91539,3.91539,,,,,2010-05-03,,3.91539,1272855600,0
DOLAR CCL,3.87578,,,3.87578,3.87578,3.87578,,,,,2010-05-04,,3.87578,1272942000,0
DOLAR CCL,3.93548,,,3.93548,3.93548,3.93548,,,,,2010-05-05,,3.93548,1273028400,0
DOLAR CCL,3.94962,,,3.94962,3.94962,3.94962,,,,,2010-05-10,,3.94962,1273460400,0
DOLAR CCL,3.8882,,,3.8882,3.8882,3.8882,,,,,2010-05-11,,3.8882,1273546800,0
DOLAR CCL,3.99199,,,3.99199,3.99199,3.99199,,,,,2010-06-09,,3.99199,1276052400,0
DOLAR CCL,3.98551,,,3.98551,3.98551,3.98551,,,,,2010-07-01,,3.98551,1277953200,0
DOLAR CCL,3.93636,,,3.93636,3.93636,3.93636,,,,,2010-07-06,,3.93636,1278385200,0
DOLAR CCL,3.93832,,,3.93832,3.93832,3.93832,,,,,2010-07-14,,3.93832,1279076400,0
DOLAR CCL,3.92726,,,3.92726,3.92726,3.92726,,,,,2010-07-23,,3.92726,1279854000,0
DOLAR CCL,3.91477,,,3.91477,3.91477,3.91477,,,,,2010-07-26,,3.91477,1280113200,0
DOLAR CCL,3.92045,,,3.92045,3.92045,3.92045,,,,,2010-07-27,,3.92045,1280199600,0
DOLAR CCL,3.91477,,,3.91477,3.91477,3.91477,,,,,2010-07-29,,3.91477,1280372400,0
DOLAR CCL,3.96552,,,3.96552,3.96552,3.96552,,,,,2010-07-30,,3.96552,1280458800,0
DOLAR CCL,3.96271,,,3.96271,3.96271,3.96271,,,,,2010-08-12,,3.96271,1281582000,0
DOLAR CCL,3.89532,,,3.89532,3.89532,3.89532,,,,,2010-08-17,,3.89532,1282014000,0
DOLAR CCL,3.91185,,,3.91185,3.91185,3.91185,,,,,2010-08-18,,3.91185,1282100400,0
DOLAR CCL,3.85667,,,3.85667,3.85667,3.85667,,,,,2010-08-25,,3.85667,1282705200,0
DOLAR CCL,3.93182,,,3.93182,3.93182,3.93182,,,,,2010-08-31,,3.93182,1283223600,0
DOLAR CCL,3.96296,,,3.96296,3.96296,3.96296,,,,,2010-09-09,,3.96296,1284001200,0
DOLAR CCL,3.95341,,,3.95341,3.95341,3.95341,,,,,2010-09-10,,3.95341,1284087600,0
DOLAR CCL,3.94944,,,3.94944,3.94944,3.94944,,,,,2010-09-13,,3.94944,1284346800,0
DOLAR CCL,3.94102,,,3.94102,3.94102,3.94102,,,,,2010-09-20,,3.94102,1284951600,0
DOLAR CCL,3.91234,,,3.91234,3.91234,3.91234,,,,,2010-09-21,,3.91234,1285038000,0
DOLAR CCL,3.92262,,,3.92262,3.92262,3.92262,,,,,2010-09-22,,3.92262,1285124400,0
DOLAR CCL,3.93018,,,3.93018,3.93018,3.93018,,,,,2010-09-30,,3.93018,1285815600,0
DOLAR CCL,3.95071,,,3.95071,3.95071,3.95071,,,,,2010-10-06,,3.95071,1286334000,0
DOLAR CCL,3.89757,,,3.89757,3.89757,3.89757,,,,,2010-10-19,,3.89757,1287457200,0
DOLAR CCL,3.90261,,,3.90261,3.90261,3.90261,,,,,2010-10-21,,3.90261,1287630000,0
