especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
GD30,2020-09-08,6200,6325,6200,6325,1477770,1599534000
GD30,2020-09-09,6400,6435,6356,6380,9529717,1599620400
GD30,2020-09-10,6390,6425,6375,6420,6560171,1599706800
GD30,2020-09-11,6425,6500,6395,6430,3229911,1599793200
GD30,2020-09-14,6385,6402,6355,6380,8180197,1600052400
GD30,2020-09-15,6450,6450,6240,6260,7716574,1600138800
GD30,2020-09-16,6245,6400,6100,6120,2913535,1600225200
GD30,2020-09-17,6050,6050,5880,5940,2602480,1600311600
GD30,2020-09-18,5900,6150,5900,6149,1482457,1600398000
GD30,2020-09-21,6000,6075,5850,6075,3142872,1600657200
GD30,2020-09-22,5927.7998,6100,5927.8,6100,7065450,1600743600
GD30,2020-09-23,5999,6270,5999,6245,4520227,1600830000
GD30,2020-09-24,6250,6250,6015,6015.5,8417537,1600916400
GD30,2020-09-25,6020,6125,6020,6100,11953468,1601002800
GD30,2020-09-28,6150,6167,6105,6155,9569854,1601262000
GD30,2020-09-29,6170,6200,6150,6199,4744554,1601348400
GD30,2020-09-30,6285,6322.5,6215,6219,10173400,1601434800
GD30,2020-10-01,6250,6250,6180,6210.5,6248843,1601521200
GD30,2020-10-02,6170,6270,6100,6150,8344751,1601607600
GD30,2020-10-05,6200,6235,6170,6215,3556907,1601866800
GD30,2020-10-06,6249,6265,6105,6169,5679376,1601953200
GD30,2020-10-07,6160,6224,6160,6215,12351252,1602039600
GD30,2020-10-08,6240,6315,6215,6301,10189547,1602126000
GD30,2020-10-09,6325,6515,6320,6480,12842009,1602212400
GD30,2020-10-13,6482,6600,6400,6589.5,9130210,1602558000
GD30,2020-10-14,6608,6740,6550,6740,8789512,1602644400
GD30,2020-10-15,6825,7050,6727,6923,10525629,1602730800
GD30,2020-10-16,6999,7150,6885,6885,10627906,1602817200
GD30,2020-10-19,6885,6950,6650,6795,15218383,1603076400
GD30,2020-10-20,6800,6800,6500,6692,11854220,1603162800
GD30,2020-10-21,6700,6910,6700,6790,6770565,1603249200
GD30,2020-10-22,6790,6900,6725,6825,2968186,1603335600
GD30,2020-10-23,6979.5,6979.5,6600,6710,2886008,1603422000
GD30,2020-10-26,6899,6899,6400,6455,8482994,1603681200
GD30,2020-10-27,6650,6650,6200,6258,2908677,1603767600
GD30,2020-10-28,6570,6570,5880,6050,4512004,1603854000
GD30,2020-10-29,6090,6100,5704,5704,3204845,1603940400
GD30,2020-10-30,5800,5865,5590,5790,6974617,1604026800
GD30,2020-11-02,5850,5850,5650,5706,3840649,1604286000
GD30,2020-11-03,5775,5899,5700.5,5815,3975772,1604372400
GD30,2020-11-04,5851,5895,5800,5895,7795020,1604458800
GD30,2020-11-05,5980,6060,5800,5890,6920812,1604545200
GD30,2020-11-06,5900,5910,5800,5850,422897,1604631600
GD30,2020-11-09,5896,5985,5800,5980,3037350,1604890800
GD30,2020-11-10,6000,6000,5830,5979,1144160,1604977200
GD30,2020-11-11,5980,6000,5900,5990,1566798,1605063600
GD30,2020-11-12,5990,5990,5900,5970,3407724,1605150000
GD30,2020-11-13,6000,6125,5975,6050,2585837,1605236400
GD30,2020-11-16,6195,6195,6100,6175,3899175,1605495600
GD30,2020-11-17,6140,6150,5988.5,6070,5208004,1605582000
GD30,2020-11-18,6100,6200,6051,6095,5236943,1605668400
GD30,2020-11-19,6050,6100,6000,6024,6379020,1605754800
GD30,2020-11-20,6024,6098.5,6000,6021,5468689,1605841200
GD30,2020-11-24,6150,6150,5985,6095,1686580,1606186800
GD30,2020-11-25,6120,6120,5930,5975,7870447,1606273200
GD30,2020-11-26,6000,6120,6000,6071,2971468,1606359600
GD30,2020-11-27,6071,6148.5,6071,6105,20127648,1606446000
GD30,2020-11-30,6110,6111,5905,5950,11258055,1606705200
GD30,2020-12-01,5975,6025,5850,5890,5878637,1606791600
GD30,2020-12-02,5810,5875,5766,5840,7255624,1606878000
GD30,2020-12-03,5830,5833,5650,5695,7417140,1606964400
GD30,2020-12-04,5695,5747,5640,5700,5735520,1607050800
GD30,2020-12-09,5700,5700,5535,5610,6835904,1607482800
GD30,2020-12-10,5700,5700,5500,5615,8646848,1607569200
GD30,2020-12-11,5750,5750,5580,5730,13764117,1607655600
GD30,2020-12-14,5799,5860,5671,5860,6165099,1607914800
GD30,2020-12-15,5860,5875,5750,5790,6627193,1608001200
GD30,2020-12-16,5979,5979,5725,5770,9232354,1608087600
GD30,2020-12-17,5770,5830,5691,5770,9142992,1608174000
GD30,2020-12-18,5770,5865,5770,5865,4149578,1608260400
GD30,2020-12-21,5865,5935,5728,5755,10944079,1608519600
GD30,2020-12-22,5800,5830,5745,5750,10256437,1608606000
GD30,2020-12-23,5799,5899,5780,5855,11044630,1608692400
GD30,2020-12-28,5885,5970,5790,5925,6842665,1609124400
GD30,2020-12-29,5865,5954.5,5825,5850,9399070,1609210800
GD30,2020-12-30,5845,5920,5835,5901,7544717,1609297200
GD30,2021-01-04,5901,5971.5,5800,5859,12668593,1609729200
GD30,2021-01-05,5860,5898.5,5816,5875,14327321,1609815600
