especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
GD38D,2020-09-15,51.7,51.7,50.6,50.6,19173,1600138800
GD38D,2020-09-16,47.51,48.5,47.51,48.5,30341,1600225200
GD38D,2020-09-17,48,48,48,48,100,1600311600
GD38D,2020-09-18,47,48.5,46.6,47.1,174195,1600398000
GD38D,2020-09-21,47.1,47.73,45.9,45.91,6383,1600657200
GD38D,2020-09-22,46,47.17,46,46.9,34228,1600743600
GD38D,2020-09-23,45.1,47,44,47,293756,1600830000
GD38D,2020-09-24,47,47.5,44,47,233366,1600916400
GD38D,2020-09-25,46,47,46,47,23843,1601002800
GD38D,2020-09-28,46.4,47,45.07,45.6,13399,1601262000
GD38D,2020-09-29,45.35,45.35,45,45.15,69304,1601348400
GD38D,2020-09-30,45.5,46.5,45.5,46.45,58644,1601434800
GD38D,2020-10-01,46.06,47.2,46.06,46.5,3950,1601521200
GD38D,2020-10-02,46.49,46.5,45.6,45.8,30880,1601607600
GD38D,2020-10-05,45,45.5,43.75,44,285327,1601866800
GD38D,2020-10-06,43.8,44,43.8,44,34186,1601953200
GD38D,2020-10-07,43.8,44,43.4,44,34676,1602039600
GD38D,2020-10-08,44,44.5,43,44.39,126194,1602126000
GD38D,2020-10-09,45.19,45.19,44.25,45,98901,1602212400
GD38D,2020-10-13,45,45.9,44.9,45,21871,1602558000
GD38D,2020-10-14,45.05,45.05,44,45,174050,1602644400
GD38D,2020-10-15,45,45.1,44.5,45.1,394737,1602730800
GD38D,2020-10-16,45.5,45.5,44.31,44.9,144001,1602817200
GD38D,2020-10-19,44.6,44.6,43.25,43.4,105949,1603076400
GD38D,2020-10-20,43.07,43.07,41.97,42.65,107377,1603162800
GD38D,2020-10-21,42,43,41.5,43,715628,1603249200
GD38D,2020-10-22,41.9,43.75,40.81,43.5,2131093,1603335600
GD38D,2020-10-23,43.9,45.5,43.75,45.5,167943,1603422000
GD38D,2020-10-26,44.9,44.9,44.5,44.5,201800,1603681200
GD38D,2020-10-27,44.45,44.45,44.45,44.45,113,1603767600
GD38D,2020-10-28,44,44,40,40,65208,1603854000
GD38D,2020-10-29,41,41,40,41,133991,1603940400
GD38D,2020-10-30,41,42.5,40,41.5,44365,1604026800
GD38D,2020-11-02,43,43,40.2,40.94,214457,1604286000
GD38D,2020-11-03,41,42,41,42,43860,1604372400
GD38D,2020-11-04,41,43,41,43,524619,1604458800
GD38D,2020-11-05,42.84,44.3,42.84,44.3,112589,1604545200
GD38D,2020-11-09,43.05,44.31,43,44,197695,1604890800
GD38D,2020-11-10,44.75,44.75,43.01,43.01,102800,1604977200
