especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
MERVAL,1989-01-02,0.2,0.2,0.2,0.2,2000,599709600
MERVAL,1989-01-03,0.21,0.21,0.21,0.21,3000,599796000
MERVAL,1989-01-04,0.22,0.22,0.22,0.22,3000,599882400
MERVAL,1989-01-05,0.21,0.21,0.21,0.21,2000,599968800
MERVAL,1989-01-06,0.21,0.21,0.21,0.21,2000,600055200
MERVAL,1989-01-09,0.22,0.22,0.22,0.22,2000,600314400
MERVAL,1989-01-10,0.22,0.22,0.22,0.22,2000,600400800
MERVAL,1989-01-11,0.21,0.21,0.21,0.21,2000,600487200
MERVAL,1989-01-12,0.21,0.21,0.21,0.21,2000,600573600
MERVAL,1989-01-13,0.21,0.21,0.21,0.21,2000,600660000
MERVAL,1989-01-17,0.2,0.2,0.2,0.2,1000,601005600
MERVAL,1989-01-18,0.2,0.2,0.2,0.2,1000,601092000
MERVAL,1989-01-19,0.19,0.19,0.19,0.19,1000,601178400
MERVAL,1989-01-20,0.19,0.19,0.19,0.19,1000,601264800
MERVAL,1989-01-23,0.2,0.2,0.2,0.2,1000,601524000
MERVAL,1989-01-24,0.19,0.19,0.19,0.19,1000,601610400
MERVAL,1989-01-25,0.19,0.19,0.19,0.19,1000,601696800
MERVAL,1989-01-26,0.19,0.19,0.19,0.19,1000,601783200
MERVAL,1989-01-27,0.18,0.18,0.18,0.18,1000,601869600
MERVAL,1989-01-30,0.18,0.18,0.18,0.18,1000,602128800
MERVAL,1989-01-31,0.18,0.18,0.18,0.18,1000,602215200
MERVAL,1989-02-01,0.19,0.19,0.19,0.19,1000,602301600
MERVAL,1989-02-02,0.18,0.18,0.18,0.18,1000,602388000
MERVAL,1989-02-03,0.17,0.17,0.17,0.17,1000,602474400
MERVAL,1989-02-07,0.2,0.2,0.2,0.2,3000,602820000
MERVAL,1989-02-08,0.23,0.23,0.23,0.23,4000,602906400
MERVAL,1989-02-09,0.2,0.2,0.2,0.2,4000,602992800
MERVAL,1989-02-10,0.21,0.21,0.21,0.21,2000,603079200
MERVAL,1989-02-13,0.2,0.2,0.2,0.2,2000,603338400
MERVAL,1989-02-14,0.2,0.2,0.2,0.2,1000,603424800
MERVAL,1989-02-15,0.23,0.23,0.23,0.23,3000,603511200
MERVAL,1989-02-16,0.24,0.24,0.24,0.24,5000,603597600
MERVAL,1989-02-17,0.24,0.24,0.24,0.24,2000,603684000
MERVAL,1989-02-20,0.24,0.24,0.24,0.24,2000,603943200
MERVAL,1989-02-21,0.23,0.23,0.23,0.23,2000,604029600
MERVAL,1989-02-22,0.22,0.22,0.22,0.22,2000,604116000
MERVAL,1989-02-23,0.23,0.23,0.23,0.23,2000,604202400
MERVAL,1989-02-24,0.25,0.25,0.25,0.25,2000,604288800
MERVAL,1989-02-27,0.24,0.24,0.24,0.24,2000,604548000
MERVAL,1989-02-28,0.24,0.24,0.24,0.24,1000,604634400
MERVAL,1989-03-01,0.24,0.24,0.24,0.24,2000,604720800
MERVAL,1989-03-02,0.27,0.27,0.27,0.27,3000,604807200
MERVAL,1989-03-03,0.28,0.28,0.28,0.28,8000,604893600
MERVAL,1989-03-06,0.3,0.3,0.3,0.3,5000,605156400
MERVAL,1989-03-07,0.32,0.32,0.32,0.32,8000,605242800
MERVAL,1989-03-08,0.36,0.36,0.36,0.36,15000,605329200
MERVAL,1989-03-09,0.33,0.33,0.33,0.33,14000,605415600
MERVAL,1989-03-10,0.33,0.33,0.33,0.33,8000,605502000
MERVAL,1989-03-13,0.36,0.36,0.36,0.36,8000,605761200
MERVAL,1989-03-15,0.39,0.39,0.39,0.39,9000,605934000
MERVAL,1989-03-16,0.4,0.4,0.4,0.4,9000,606020400
MERVAL,1989-03-17,0.4,0.4,0.4,0.4,8000,606106800
MERVAL,1989-03-20,0.38,0.38,0.38,0.38,6000,606366000
MERVAL,1989-03-21,0.37,0.37,0.37,0.37,6000,606452400
MERVAL,1989-03-22,0.4,0.4,0.4,0.4,6000,606538800
MERVAL,1989-03-27,0.42,0.42,0.42,0.42,7000,606970800
MERVAL,1989-03-28,0.4,0.4,0.4,0.4,9000,607057200
MERVAL,1989-03-29,0.45,0.45,0.45,0.45,10000,607143600
MERVAL,1989-03-30,0.46,0.46,0.46,0.46,11000,607230000
MERVAL,1989-03-31,0.45,0.45,0.45,0.45,10000,607316400
MERVAL,1989-04-04,0.46,0.46,0.46,0.46,25000,607662000
MERVAL,1989-04-05,0.43,0.43,0.43,0.43,9000,607748400
MERVAL,1989-04-06,0.43,0.43,0.43,0.43,7000,607834800
MERVAL,1989-04-07,0.42,0.42,0.42,0.42,7000,607921200
MERVAL,1989-04-10,0.38,0.38,0.38,0.38,6000,608180400
MERVAL,1989-04-11,0.41,0.41,0.41,0.41,7000,608266800
MERVAL,1989-04-12,0.45,0.45,0.45,0.45,8000,608353200
MERVAL,1989-04-13,0.49,0.49,0.49,0.49,9000,608439600
MERVAL,1989-04-14,0.46,0.46,0.46,0.46,12000,608526000
MERVAL,1989-04-17,0.44,0.44,0.44,0.44,4000,608785200
MERVAL,1989-04-18,0.48,0.48,0.48,0.48,8000,608871600
MERVAL,1989-04-20,0.49,0.49,0.49,0.49,3000,609044400
MERVAL,1989-04-21,0.49,0.49,0.49,0.49,7000,609130800
MERVAL,1989-04-24,0.53,0.53,0.53,0.53,10000,609390000
MERVAL,1989-04-25,0.61,0.61,0.61,0.61,21000,609476400
MERVAL,1989-04-26,0.74,0.74,0.74,0.74,23000,609562800
MERVAL,1989-04-27,0.71,0.71,0.71,0.71,22000,609649200
MERVAL,1989-05-03,0.72,0.72,0.72,0.72,10000,610167600
MERVAL,1989-05-04,0.7,0.7,0.7,0.7,10000,610254000
MERVAL,1989-05-05,0.75,0.75,0.75,0.75,11000,610340400
MERVAL,1989-05-08,0.94,0.94,0.94,0.94,14000,610599600
MERVAL,1989-05-09,0.97,0.97,0.97,0.97,19000,610686000
MERVAL,1989-05-10,1.07,1.07,1.07,1.07,20000,610772400
MERVAL,1989-05-11,1.05,1.05,1.05,1.05,26000,610858800
MERVAL,1989-05-12,1.08,1.08,1.08,1.08,24000,610945200
MERVAL,1989-05-15,0.95,0.95,0.95,0.95,17000,611204400
MERVAL,1989-05-16,0.88,0.88,0.88,0.88,22000,611290800
MERVAL,1989-05-17,1.05,1.05,1.05,1.05,17000,611377200
MERVAL,1989-05-18,1.28,1.28,1.28,1.28,26000,611463600
MERVAL,1989-05-19,1.26,1.26,1.26,1.26,45000,611550000
MERVAL,1989-05-30,1.64,1.64,1.64,1.64,22000,612500400
MERVAL,1989-05-31,2.28,2.28,2.28,2.28,52000,612586800
MERVAL,1989-06-01,2.21,2.21,2.21,2.21,39000,612673200
MERVAL,1989-06-02,2.64,2.64,2.64,2.64,48000,612759600
MERVAL,1989-06-05,3.14,3.14,3.14,3.14,51000,613018800
MERVAL,1989-06-06,3.01,3.01,3.01,3.01,46000,613105200
MERVAL,1989-06-07,3.09,3.09,3.09,3.09,46000,613191600
MERVAL,1989-06-08,2.96,2.96,2.96,2.96,44000,613278000
MERVAL,1989-06-09,3.19,3.19,3.19,3.19,47000,613364400
MERVAL,1989-06-12,3.66,3.66,3.66,3.66,64000,613623600
MERVAL,1989-06-13,4.24,4.24,4.24,4.24,111000,613710000
MERVAL,1989-06-14,4.87,4.87,4.87,4.87,144000,613796400
