especie,ultimo,variacion,anterior,apertura,minimo,maximo,varMTD,varYTD,var6M,var12M,fecha,hora,cierre,timestamp,volumen
RIESGO PAIS,937,,,937,937,937,,,,,1999-01-22,,937,916974000,0
RIESGO PAIS,790,,,790,790,790,,,,,1999-02-01,,790,917838000,0
RIESGO PAIS,769,,,769,769,769,,,,,1999-02-02,,769,917924400,0
RIESGO PAIS,772,,,772,772,772,,,,,1999-02-03,,772,918010800,0
RIESGO PAIS,777,,,777,777,777,,,,,1999-02-04,,777,918097200,0
RIESGO PAIS,784,,,784,784,784,,,,,1999-02-05,,784,918183600,0
RIESGO PAIS,810,,,810,810,810,,,,,1999-02-08,,810,918442800,0
RIESGO PAIS,815,,,815,815,815,,,,,1999-02-09,,815,918529200,0
RIESGO PAIS,795,,,795,795,795,,,,,1999-02-10,,795,918615600,0
RIESGO PAIS,759,,,759,759,759,,,,,1999-02-11,,759,918702000,0
RIESGO PAIS,742,,,742,742,742,,,,,1999-02-12,,742,918788400,0
RIESGO PAIS,751,,,751,751,751,,,,,1999-02-15,,751,919047600,0
RIESGO PAIS,724,,,724,724,724,,,,,1999-02-16,,724,919134000,0
RIESGO PAIS,747,,,747,747,747,,,,,1999-02-17,,747,919220400,0
RIESGO PAIS,753,,,753,753,753,,,,,1999-02-18,,753,919306800,0
RIESGO PAIS,747,,,747,747,747,,,,,1999-02-19,,747,919393200,0
RIESGO PAIS,762,,,762,762,762,,,,,1999-02-22,,762,919652400,0
RIESGO PAIS,766,,,766,766,766,,,,,1999-02-23,,766,919738800,0
RIESGO PAIS,767,,,767,767,767,,,,,1999-02-24,,767,919825200,0
RIESGO PAIS,775,,,775,775,775,,,,,1999-02-25,,775,919911600,0
RIESGO PAIS,786,,,786,786,786,,,,,1999-02-26,,786,919998000,0
RIESGO PAIS,766,,,766,766,766,,,,,1999-03-01,,766,920257200,0
RIESGO PAIS,799,,,799,799,799,,,,,1999-03-02,,799,920343600,0
RIESGO PAIS,780,,,780,780,780,,,,,1999-03-03,,780,920430000,0
RIESGO PAIS,748,,,748,748,748,,,,,1999-03-04,,748,920516400,0
RIESGO PAIS,744,,,744,744,744,,,,,1999-03-05,,744,920602800,0
RIESGO PAIS,742,,,742,742,742,,,,,1999-03-08,,742,920862000,0
RIESGO PAIS,738,,,738,738,738,,,,,1999-03-09,,738,920948400,0
RIESGO PAIS,716,,,716,716,716,,,,,1999-03-10,,716,921034800,0
