"Fecha de pago",Bono,Ticker,Renta,Amortización,R+A,Moneda
22/03/2023,"",BA37D,	2.625,	0,	2.625,USD
22/09/2023,"",BA37D,	2.625,	0,	2.625,USD
22/03/2024,"",BA37D,	3.188,	1.83,	5.018,USD
22/09/2024,"",BA37D,	3.129,	1.83,	4.959,USD
22/03/2025,"",BA37D,	3.191,	2.25,	5.441,USD
22/09/2025,"",BA37D,	3.117,	2.25,	5.367,USD
22/03/2026,"",BA37D,	3.042,	2.90,	5.942,USD
22/09/2026,"",BA37D,	2.946,	2.90,	5.846,USD
22/03/2027,"",BA37D,	2.850,	3.28,	6.130,USD
22/09/2027,"",BA37D,	2.741,	3.28,	6.021,USD
22/03/2028,"",BA37D,	2.633,	3.47,	6.103,USD
22/09/2028,"",BA37D,	2.518,	3.47,	5.988,USD
22/03/2029,"",BA37D,	2.403,	3.79,	6.193,USD
22/09/2029,"",BA37D,	2.277,	3.79,	6.067,USD
22/03/2030,"",BA37D,	2.152,	3.08,	5.232,USD
22/09/2030,"",BA37D,	2.050,	3.08,	5.130,USD
22/03/2031,"",BA37D,	1.948,	3.59,	5.538,USD
22/09/2031,"",BA37D,	1.829,	3.59,	5.419,USD
22/03/2032,"",BA37D,	1.710,	3.77,	5.480,USD
22/09/2032,"",BA37D,	1.585,	3.77,	5.355,USD
22/03/2033,"",BA37D,	1.460,	3.94,	5.400,USD
22/09/2033,"",BA37D,	1.330,	3.94,	5.270,USD
22/03/2034,"",BA37D,	1.199,	4.20,	5.399,USD
22/09/2034,"",BA37D,	1.06,	4.20,	5.26,USD
22/03/2035,"",BA37D,	0.921,	4.40,	5.321,USD
22/09/2035,"",BA37D,	0.775,	4.40,	5.175,USD
22/03/2036,"",BA37D,	0.629,	4.67,	5.299,USD
22/09/2036,"",BA37D,	0.475,	4.67,	5.145,USD
22/03/2037,"",BA37D,	0.320,	4.83,	5.150,USD
22/09/2037,"",BA37D,	0.160,	4.83,	4.990,USD

