"Fecha de pago",Bono,Ticker,Renta,Amortización,R+A,Moneda
2023/01/09,"Bono República Argentina Ley ",GD30,0.25,0,0.25,USD
2023/07/09,"Bono República Argentina Ley ",GD30,0.25,0,0.25,USD
2024/01/09,"Bono República Argentina Ley ",GD30,0.38,0,0.38,USD
2024/07/09,"Bono República Argentina Ley ",GD30,0.38,4,4.38,USD
2025/01/09,"Bono República Argentina Ley ",GD30,0.36,8,8.36,USD
2025/07/09,"Bono República Argentina Ley ",GD30,0.33,8,8.33,USD
2026/01/09,"Bono República Argentina Ley ",GD30,0.30,8,8.3,USD
2026/07/09,"Bono República Argentina Ley ",GD30,0.27,8,8.27,USD
2027/01/09,"Bono República Argentina Ley ",GD30,0.24,8,8.24,USD
2027/07/09,"Bono República Argentina Ley ",GD30,0.21,8,8.21,USD
2028/01/09,"Bono República Argentina Ley ",GD30,0.42,8,8.42,USD
2028/07/09,"Bono República Argentina Ley ",GD30,0.35,8,8.35,USD
2029/01/09,"Bono República Argentina Ley ",GD30,0.28,8,8.28,USD
2029/07/09,"Bono República Argentina Ley ",GD30,0.21,8,8.21,USD
2030/01/09,"Bono República Argentina Ley ",GD30,0.14,8,8.14,USD
2030/07/09,"Bono República Argentina Ley ",GD30,0.07,8,8.07,USD
