"Fecha de pago",Bono,,,,,,Ticker,Renta,,,,Amortización,,,R+A,,Moneda
2023/01/09,"Bono República Argentina Ley ",,,,,,GD46,0.75,,,,0,,,0.75,,USD
2023/07/09,"Bono República Argentina Ley ",,,,,,GD46,0.75,,,,0,,,0.75,,USD
2024/01/09,"Bono República Argentina Ley ",,,,,,GD46,1.81,,,,0,,,1.81,,USD
2024/07/09,"Bono República Argentina Ley ",,,,,,GD46,1.81,,,,0,,,1.81,,USD
2025/01/09,"Bono República Argentina Ley ",,,,,,GD46,2.06,,,,2.27,,,4.33,,USD
2025/07/09,"Bono República Argentina Ley ",,,,,,GD46,2.02,,,,2.27,,,4.29,,USD
2026/01/09,"Bono República Argentina Ley ",,,,,,GD46,1.97,,,,2.27,,,4.24,,USD
2026/07/09,"Bono República Argentina Ley ",,,,,,GD46,1.92,,,,2.27,,,4.19,,USD
2027/01/09,"Bono República Argentina Ley ",,,,,,GD46,1.88,,,,2.27,,,4.15,,USD
2027/07/09,"Bono República Argentina Ley ",,,,,,GD46,1.83,,,,2.27,,,4.1,,USD
2028/01/09,"Bono República Argentina Ley ",,,,,,GD46,1.89,,,,2.27,,,4.16,,USD
2028/07/09,"Bono República Argentina Ley ",,,,,,GD46,1.84,,,,2.27,,,4.11,,USD
2029/01/09,"Bono República Argentina Ley ",,,,,,GD46,2.05,,,,2.27,,,4.32,,USD
2029/07/09,"Bono República Argentina Ley ",,,,,,GD46,1.99,,,,2.27,,,4.26,,USD
2030/01/09,"Bono República Argentina Ley ",,,,,,GD46,1.93,,,,2.27,,,4.2,,USD
2030/07/09,"Bono República Argentina Ley ",,,,,,GD46,1.88,,,,2.27,,,4.15,,USD
2031/01/09,"Bono República Argentina Ley ",,,,,,GD46,1.82,,,,2.27,,,4.09,,USD
2031/07/09,"Bono República Argentina Ley ",,,,,,GD46,1.76,,,,2.27,,,4.03,,USD
2032/01/09,"Bono República Argentina Ley ",,,,,,GD46,1.7,,,,2.27,,,3.97,,USD
2032/07/09,"Bono República Argentina Ley ",,,,,,GD46,1.65,,,,2.27,,,3.92,,USD
2033/01/09,"Bono República Argentina Ley ",,,,,,GD46,1.59,,,,2.27,,,3.86,,USD
2033/07/09,"Bono República Argentina Ley ",,,,,,GD46,1.53,,,,2.27,,,3.8,,USD
2034/01/09,"Bono República Argentina Ley ",,,,,,GD46,1.48,,,,2.27,,,3.75,,USD
2034/07/09,"Bono República Argentina Ley ",,,,,,GD46,1.42,,,,2.27,,,3.69,,USD
2035/01/09,"Bono República Argentina Ley ",,,,,,GD46,1.36,,,,2.27,,,3.63,,USD
2035/07/09,"Bono República Argentina Ley ",,,,,,GD46,1.31,,,,2.27,,,3.58,,USD
2036/01/09,"Bono República Argentina Ley ",,,,,,GD46,1.25,,,,2.27,,,3.52,,USD
2036/07/09,"Bono República Argentina Ley ",,,,,,GD46,1.19,,,,2.27,,,3.46,,USD
2037/01/09,"Bono República Argentina Ley ",,,,,,GD46,1.14,,,,2.27,,,3.41,,USD
2037/07/09,"Bono República Argentina Ley ",,,,,,GD46,1.08,,,,2.27,,,3.35,,USD
2038/01/09,"Bono República Argentina Ley ",,,,,,GD46,1.02,,,,2.27,,,3.29,,USD
2038/07/09,"Bono República Argentina Ley ",,,,,,GD46,0.97,,,,2.27,,,3.24,,USD
2039/01/09,"Bono República Argentina Ley ",,,,,,GD46,0.91,,,,2.27,,,3.18,,USD
2039/07/09,"Bono República Argentina Ley ",,,,,,GD46,0.85,,,,2.27,,,3.12,,USD
2040/01/09,"Bono República Argentina Ley ",,,,,,GD46,0.8,,,,2.27,,,3.07,,USD
2040/07/09,"Bono República Argentina Ley ",,,,,,GD46,0.74,,,,2.27,,,3.01,,USD
2041/01/09,"Bono República Argentina Ley ",,,,,,GD46,0.68,,,,2.27,,,2.95,,USD
2041/07/09,"Bono República Argentina Ley ",,,,,,GD46,0.62,,,,2.27,,,2.89,,USD
2042/01/09,"Bono República Argentina Ley ",,,,,,GD46,0.57,,,,2.27,,,2.84,,USD
2042/07/09,"Bono República Argentina Ley ",,,,,,GD46,0.51,,,,2.27,,,2.78,,USD
2043/01/09,"Bono República Argentina Ley ",,,,,,GD46,0.45,,,,2.27,,,2.72,,USD
2043/07/09,"Bono República Argentina Ley ",,,,,,GD46,0.4,,,,2.27,,,2.67,,USD
2044/01/09,"Bono República Argentina Ley ",,,,,,GD46,0.34,,,,2.27,,,2.61,,USD
2044/07/09,"Bono República Argentina Ley ",,,,,,GD46,0.28,,,,2.27,,,2.55,,USD
2045/01/09,"Bono República Argentina Ley ",,,,,,GD46,0.23,,,,2.27,,,2.5,,USD
2045/07/09,"Bono República Argentina Ley ",,,,,,GD46,0.17,,,,2.27,,,2.44,,USD
2046/01/09,"Bono República Argentina Ley ",,,,,,GD46,0.11,,,,2.27,,,2.38,,USD
2046/07/09,"Bono República Argentina Ley ",,,,,,GD46,0.06,,,,2.27,,,2.33,,USD
