,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
AAPL,Information Technology,Apple Inc.,7.048435,162.13,DJIA S&P500 NDQ100,26.42,6.15,0.07%,16.28B,5.46%,2651.76B,24.96,6.51,-1.61%,16.17B,16.72%,101.94B,2.66,1.16,59.70%,0.65%,-0.69%,386.02B,6.87,71.40%,0.08%,1.16,2.07%,4.14,39.25,28.90%,183.29,11.58%,3.16,51.48,9.91%,152.90%,129.04 - 182.94,-8.48%,0.92,29.12,22.00%,50.00%,-11.17%,1.21,0.57%,0.90,11.10%,43.30%,25.94%,3.93,154000,0.90,8.60%,30.90%,70.16,2.28% 2.52%,Yes,1.78,9.20%,26.40%,1.12,157.35,Yes,1.53,Jul 28 AMC,14.20%,90.77M,162.51,1.90,9.52%,12.89%,2.31%,"101,549,743",3.28%
MSFT,Information Technology,Microsoft Corporation,6.022619,280.6,DJIA S&P500 NDQ100,29.29,9.59,0.07%,7.49B,7.83%,2135.79B,26.35,10.66,-0.57%,7.46B,7.87%,72.46B,1.86,2.29,72.00%,0.52%,-3.07%,192.56B,11.09,39.70%,0.09%,1.27,-6.37%,21.74,12.91,21.40%,344.40,-2.01%,13.76,20.40,15.74%,47.00%,241.51 - 349.67,-16.53%,2.48,46.50,25.70%,28.20%,-19.71%,0.92,0.88%,1.90,13.00%,68.70%,16.24%,7.78,181000,2.00,18.40%,42.50%,63.77,3.19% 2.75%,Yes,0.40,9.10%,37.60%,1.05,276.41,Yes,0.38,Jul 26 AMC,24.50%,30.71M,280.74,1.70,7.56%,7.70%,-5.08%,"32,115,430",1.57%
AMZN,Consumer Discretionary,Amazon.com Inc.,3.117075,134.88,S&P500 NDQ100,65.26,2.07,9.80%,10.18B,10.24%,1397.82B,53.21,2.54,-0.00%,457.72M,23.90%,21.41B,1.96,0.14,60.70%,17.83%,-6.67%,477.75B,2.93,54.90%,-0.21%,0.92,-3.36%,13.16,10.25,5.40%,170.43,-25.03%,6.41,21.06,33.25%,16.90%,101.26 - 188.11,-19.05%,-,-,67.60%,9.50%,-28.26%,1.28,-,0.70,28.10%,42.10%,33.27%,5.81,1622000,1.00,7.30%,4.10%,68.22,3.64% 3.91%,Yes,0.53,-147.80%,4.50%,1.68,122.28,Yes,0.51,Jul 28 AMC,0.00%,88.52M,134.95,1.70,16.74%,18.83%,-8.07%,"148,509,504",10.36%
GOOGL,Communication Services,Alphabet Inc. Class A,2.001613,116.22,S&P500 NDQ100,21.41,5.43,7.70%,13.20B,7.80%,1628.10B,18.17,6.40,-0.03%,11.82B,4.13%,74.54B,1.48,1.29,79.20%,0.40%,-1.86%,270.33B,6.02,91.40%,0.00%,1.21,-9.83%,19.24,6.05,21.30%,153.61,-14.33%,9.57,12.15,14.45%,30.20%,101.88 - 151.55,-19.70%,-,23.60,32.10%,24.00%,-23.24%,1.09,-,2.80,23.30%,56.90%,14.17%,4.25,163906,2.90,23.00%,30.50%,55.83,3.53% 3.50%,Yes,0.06,-6.30%,27.60%,0.95,114.22,Yes,0.06,Jul 26 AMC,0.00%,38.97M,116.32,1.70,3.60%,3.81%,-10.91%,"37,173,327",1.84%
GOOG,Communication Services,Alphabet Inc. Class C,1.841224,116.53,S&P500 NDQ100,20.21,5.77,0.04%,13.20B,7.64%,1540.13B,18.03,6.47,-20.43%,12.25B,3.90%,-,1.41,1.31,65.25%,0.24%,-2.32%,270.33B,5.70,-2.00%,-,0.94,-9.67%,19.28,6.05,-,150.05,-14.57%,-,-,14.34%,-,102.21 - 152.10,-19.38%,-,-,-,-,-23.31%,-,-,-,-,-,14.12%,4.22,163906,-,23.00%,-,55.42,3.50% 3.48%,Yes,-,-8.30%,-,0.98,114.59,Yes,-,Jul 26 AMC,-,32.03M,116.64,1.50,3.25%,3.64%,-10.94%,"31,285,210",1.79%
TSLA,Consumer Discretionary,Tesla Inc,2.060172,889.8,S&P500 NDQ100,181.12,4.92,17.26%,1.00B,9.15%,895.25B,53.69,16.60,-5.35%,857.50M,30.05%,5.52B,3.49,3.13,43.20%,2.74%,1.59%,53.82B,16.63,669.20%,0.08%,0.77,7.52%,32.96,27.05,9.20%,879.36,31.61%,17.94,49.70,51.89%,19.00%,620.57 - 1243.49,-15.64%,-,78.09,48.60%,15.70%,-28.31%,2.14,-,1.00,50.40%,25.30%,43.65%,38.65,99290,1.40,80.50%,12.10%,70.89,4.59% 4.97%,Yes,0.14,640.70%,10.30%,1.03,842.70,Yes,0.09,Jul 20 AMC,0.00%,30.64M,891.45,2.50,19.93%,23.92%,-1.93%,"31,635,312",5.78%
UNH,Health Care,UnitedHealth Group Incorporated,1.481359,542.0,DJIA S&P500,28.33,19.14,0.20%,941.00M,4.01%,509.83B,21.82,24.86,-7.63%,932.93M,5.16%,18.25B,1.96,5.43,89.70%,0.61%,3.42%,306.56B,1.66,12.80%,0.09%,1.67,17.49%,77.33,7.01,8.10%,572.07,31.61%,27.11,20.01,14.42%,24.40%,383.12 - 553.29,8.01%,6.60,34.90,20.10%,16.50%,-1.98%,0.76,1.22%,-,9.20%,-,41.56%,13.32,350000,-,14.20%,7.80%,64.06,1.69% 2.28%,Yes,0.65,3.70%,5.60%,0.86,541.49,Yes,0.56,Jul 15 BMO,30.60%,3.41M,542.34,1.80,4.27%,8.25%,11.69%,"2,944,986",0.16%
JNJ,Health Care,Johnson & Johnson,1.335428,174.35,DJIA S&P500,25.37,6.88,0.10%,2.63B,1.39%,457.07B,16.38,10.66,-4.30%,2.63B,-1.40%,18.37B,6.24,2.52,70.30%,0.52%,-4.87%,95.59B,4.78,44.70%,-0.06%,1.97,2.30%,28.42,6.14,11.70%,187.84,1.36%,11.60,15.04,4.07%,28.90%,155.72 - 186.69,2.02%,4.52,52.38,5.70%,19.40%,-6.52%,0.61,2.59%,1.10,5.50%,67.90%,12.07%,3.06,141700,1.40,5.00%,23.80%,48.87,1.55% 1.63%,Yes,0.44,-16.70%,21.80%,0.93,174.20,Yes,0.39,Jul 19 BMO,39.60%,6.91M,174.52,2.30,-0.48%,-0.82%,1.81%,"6,446,935",0.18%
XOM,Energy,Exxon Mobil Corporation,1.136916,96.86,S&P500,16.10,6.02,0.07%,4.27B,11.31%,411.53B,9.75,9.94,-35.09%,4.21B,10.00%,25.74B,0.67,3.74,56.90%,0.89%,11.16%,306.87B,1.34,202.20%,0.13%,1.33,29.03%,39.67,2.44,7.50%,103.36,64.48%,2.61,37.16,23.92%,15.70%,52.10 - 105.57,58.41%,3.52,16.39,23.40%,7.20%,-8.18%,1.04,3.63%,0.80,6.60%,30.50%,86.05%,3.24,63000,1.10,52.40%,8.80%,65.88,2.93% 3.00%,Yes,0.28,100.70%,8.40%,1.05,92.64,Yes,0.25,Jul 29 BMO,58.00%,28.27M,96.93,2.40,11.53%,6.11%,23.99%,"29,772,418",4.63%
META,Communication Services,Meta Platforms Inc. Class A,1.073884,158.3,S&P500 NDQ100,12.04,13.21,0.55%,2.73B,-6.01%,465.93B,11.82,13.46,-0.01%,2.28B,-2.95%,37.34B,1.60,2.60,76.70%,1.18%,-22.67%,119.67B,3.89,36.40%,-0.31%,0.85,-46.00%,45.22,3.52,22.30%,278.73,-55.60%,14.99,10.62,7.53%,28.70%,154.25 - 384.33,-52.70%,-,11.71,31.60%,31.00%,-58.60%,1.42,-,2.80,33.70%,80.30%,3.14%,8.11,77805,2.80,6.60%,36.70%,43.12,4.31% 3.82%,Yes,0.00,-17.40%,31.20%,1.33,160.72,Yes,0.00,Jul 27 AMC,0.00%,31.62M,159.10,2.10,-5.00%,-9.12%,-35.81%,"41,978,299",-1.01%
NVDA,Information Technology,NVIDIA Corporation,1.311919,181.9,S&P500 NDQ100,48.73,3.73,0.30%,2.51B,4.87%,473.24B,29.01,6.26,-10.74%,2.40B,16.86%,9.46B,2.14,1.26,65.90%,1.50%,-8.18%,29.54B,16.02,123.10%,-0.00%,0.64,-17.23%,10.50,17.30,22.40%,243.86,-7.62%,7.81,23.27,22.80%,38.70%,140.55 - 346.47,-38.24%,0.16,62.88,43.10%,26.20%,-47.58%,1.66,0.09%,4.70,31.30%,65.30%,29.23%,7.91,22473,5.30,46.40%,33.70%,60.53,3.74% 4.43%,Yes,0.00,-15.70%,32.00%,0.77,179.84,Yes,0.42,May 25 AMC,4.20%,56.49M,181.63,2.00,12.25%,8.10%,-21.88%,"43,485,278",1.00%
