,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,cedear
AAPL,Information Technology,Apple Inc.,7.139484,166.02,"DJIA, NDX, S&P 500 NDQ100",28.23,5.89,0.07%,15.89B,4.98%,2588.64B,25.20,6.59,-6.18%,15.81B,10.02%,95.17B,3.47,1.24,60.10%,0.68% / 1.56,27.89%,387.54B,6.68,8.90%,-0.47%,107.42M,20.24%,3.57,46.55,27.50%,169.63,-4.83%,3.30,50.41,8.13%,163.50%,124.17 - 178.49,27.89%,0.92,31.33,21.60%,58.30%,-6.90%,1.29,0.55%,0.90,11.50%,43.10%,33.82%,3.19,164000,0.90,-5.50%,29.40%,71.19,1.32% 2.01%,Yes,1.96,-10.30%,24.60%,0.83,164.90,Yes,1.76,Feb 02 AMC,15.40%,68.89M,166.17,2.00,6.45%,9.71%,11.90%,"56,843,147",0.77%,1
MSFT,Information Technology,Microsoft Corporation,6.247385,286.75,"DJIA, NDX, S&P 500 NDQ100",31.93,8.99,0.06%,7.45B,3.93%,2106.57B,26.71,10.75,-0.73%,7.44B,12.51%,67.45B,2.68,2.47,72.40%,0.48% / 1.10,19.77%,204.09B,10.32,19.80%,0.48%,35.91M,23.33%,24.58,11.69,18.80%,289.69,-6.84%,13.57,21.17,11.90%,39.30%,213.43 - 315.11,19.77%,2.72,51.82,24.30%,31.30%,-8.85%,0.92,0.95%,1.90,15.50%,68.20%,34.58%,6.41,221000,1.90,2.00%,40.50%,67.72,1.46% 2.34%,Yes,0.35,-11.50%,33.00%,0.76,288.30,Yes,0.32,Jan 24 AMC,28.10%,32.73M,287.23,1.90,6.73%,10.29%,13.42%,"24,850,968",-0.37%,1
AMZN,Consumer Discretionary,Amazon.com Inc.,2.680672,102.33,"NDX, S&P 500 NDQ100",-,-0.27,9.80%,10.22B,4.46%,1036.32B,40.66,2.52,-0.02%,9.25B,7.91%,-2722.00M,-,0.33,60.10%,0.61% / 0.83,21.92%,513.98B,2.02,-108.20%,0.62%,56.47M,-9.37%,14.29,7.17,-0.60%,133.68,-37.17%,6.92,14.80,-,-2.00%,81.43 - 168.39,21.92%,-,-,-26.00%,6.60%,-39.18%,1.26,-,0.70,23.60%,43.80%,25.76%,2.93,1541000,0.90,8.60%,2.40%,61.28,1.90% 3.06%,Yes,0.61,-98.00%,-0.50%,0.60,103.29,Yes,0.58,Feb 02 AMC,-,68.35M,102.41,1.80,5.50%,4.52%,-4.75%,"41,032,870",-0.85%,1
GOOGL,Communication Services,Alphabet Inc. Class A,1.798529,104.17,"NDX, S&P 500 NDQ100",23.26,4.49,0.28%,6.84B,1.85%,1302.53B,17.17,6.08,4.26%,5.94B,11.44%,59.97B,1.42,1.28,78.60%,0.71% / 1.06,18.28%,282.84B,4.61,-18.80%,-0.22%,42.32M,9.11%,19.86,5.25,16.70%,125.16,-24.96%,9.11,11.45,16.34%,23.50%,83.34 - 143.71,18.28%,-,21.71,23.30%,23.40%,-27.38%,1.09,-,2.30,20.60%,55.40%,25.22%,2.79,190234,2.40,1.00%,26.50%,61.96,2.26% 2.78%,Yes,0.06,-31.50%,21.20%,0.61,103.73,Yes,0.06,Feb 02 AMC,0.00%,40.09M,104.36,1.80,5.45%,7.13%,3.04%,"24,564,065",0.61%,1
UNH,Health Care,UnitedHealth Group Incorporated,1.285433,494.34,"DJIA, S&P 500",23.33,21.18,0.10%,934.00M,2.55%,458.53B,17.47,28.28,-0.11%,929.88M,3.27%,20.12B,1.68,6.26,89.70%,0.58% / 1.49,-6.79%,324.16B,1.41,17.10%,-0.69%,5.38M,-2.15%,83.27,5.93,8.60%,596.26,-3.09%,25.18,19.62,13.89%,27.00%,449.70 - 558.10,-6.79%,6.60,26.33,17.40%,16.80%,-11.45%,0.68,1.34%,-,10.00%,-,9.89%,10.61,400000,-,12.30%,8.80%,61.44,2.21% 2.08%,Yes,0.74,18.10%,6.20%,1.31,472.59,Yes,0.70,Apr 14 BMO,29.80%,3.61M,494.19,1.80,4.84%,2.89%,-3.41%,"4,725,134",4.57%,1
GOOG,Communication Services,Alphabet Inc. Class C,1.571954,104.62,"NDX, S&P 500 NDQ100",22.42,4.68,0.02%,5.97B,1.80%,1341.72B,17.31,6.06,144.84%,5.20B,11.58%,-,1.37,1.05,63.32%,0.64% / 1.03,18.24%,282.84B,4.74,10.10%,-,33.46M,9.11%,19.93,5.26,-,124.78,-24.88%,-,-,16.34%,-,83.45 - 144.04,18.24%,-,-,23.35%,-,-27.17%,-,-,-,-,-,25.72%,2.78,190234,-,1.00%,-,61.52,2.20% 2.76%,Yes,-,-34.00%,-,0.64,104.00,Yes,-,Feb 02 AMC,0.00%,32.36M,104.91,1.50,5.44%,7.04%,2.97%,"20,696,619",0.88%,0
JNJ,Health Care,Johnson & Johnson,1.179712,156.21,"DJIA, S&P 500",23.28,6.74,0.09%,2.61B,2.32%,403.43B,14.41,10.89,-14.27%,2.60B,1.84%,17.94B,5.90,2.60,70.80%,0.49% / 1.53,-11.21%,94.94B,4.25,-13.70%,-0.37%,12.59M,-3.99%,29.38,5.34,10.00%,179.20,-11.50%,9.14,17.15,3.94%,23.70%,150.11 - 186.69,-11.21%,4.52,73.31,5.30%,15.40%,-15.98%,0.53,2.88%,0.80,4.40%,67.40%,4.49%,2.15,152700,1.00,-4.40%,22.90%,56.38,1.18% 1.41%,Yes,0.52,-25.10%,18.90%,0.83,155.00,Yes,0.35,Apr 18 BMO,65.10%,8.24M,156.85,2.50,2.43%,-0.84%,-6.78%,"6,839,211",1.19%,1
XOM,Energy,Exxon Mobil Corporation,1.3146,116.13,S&P500,8.75,13.27,0.10%,4.14B,9.76%,472.03B,11.76,9.88,-0.48%,4.07B,2.94%,55.71B,0.32,2.41,59.80%,0.86% / 2.07,5.29%,398.68B,1.18,146.40%,0.68%,35.15M,33.01%,47.12,2.46,15.30%,127.21,40.61%,7.29,15.93,26.96%,30.60%,79.29 - 119.63,5.29%,3.64,10.86,32.60%,18.30%,-2.93%,1.08,3.13%,1.10,10.90%,31.90%,46.46%,3.16,62000,1.40,14.60%,15.90%,66.25,1.84% 2.77%,Yes,0.21,49.00%,14.00%,1.65,109.66,Yes,0.21,Apr 28 BMO,26.70%,16.99M,116.13,2.30,9.03%,4.93%,13.69%,"28,016,145",5.90%,1
JPM,Financials,JPMorgan Chase & Co.,1.1127,130.0,"DJIA, S&P 500",10.77,12.09,0.10%,2.96B,1.30%,378.52B,9.67,13.46,-4.06%,2.91B,-9.40%,35.89B,-,3.28,70.80%,0.71% / 1.53,-2.94%,92.81B,4.08,-21.30%,0.11%,20.63M,24.56%,89.42,1.46,0.90%,156.49,-4.52%,489.77,0.27,-0.99%,14.00%,101.28 - 144.34,-2.94%,4.00,3.98,12.10%,6.50%,-9.82%,1.09,3.07%,-,7.70%,-,28.52%,3.38,293723,-,120.10%,65.00%,46.14,1.57% 2.70%,Yes,1.07,7.30%,38.70%,0.87,130.31,Yes,1.07,Apr 14 BMO,33.00%,13.52M,130.16,2.10,-0.49%,-4.85%,3.77%,"11,767,794",-0.12%,1
NVDA,Information Technology,NVIDIA Corporation,1.989199,279.27,"NDX, S&P 500 NDQ100",160.63,1.74,0.40%,2.46B,5.40%,680.94B,46.51,6.01,-5.65%,2.36B,17.06%,4.37B,7.58,0.91,65.90%,1.60% / 0.75,91.36%,26.97B,25.24,-54.70%,-0.85%,37.70M,130.37%,8.97,31.18,10.30%,271.58,2.49%,5.46,51.21,21.20%,18.70%,108.13 - 278.34,91.36%,0.16,199.69,8.60%,13.30%,0.47%,1.76,0.06%,2.70,22.70%,56.90%,158.62%,8.91,26196,3.50,-20.80%,15.70%,73.49,2.19% 3.46%,Yes,0.50,-51.60%,16.20%,0.79,277.77,Yes,0.44,Feb 22 AMC,9.10%,50.19M,279.65,2.10,10.19%,21.51%,61.87%,"39,720,496",0.68%,1
PG,Consumer Staples,Procter & Gamble Company,1.02116,149.42,"DJIA, S&P 500",26.26,5.69,0.13%,2.37B,2.44%,349.77B,23.61,6.33,-2.33%,2.36B,6.07%,14.00B,5.18,1.35,65.50%,0.57% / 1.95,-1.35%,80.28B,4.36,5.60%,-1.26%,13.46M,18.42%,18.44,8.11,11.90%,154.76,-2.15%,2.93,51.03,5.07%,31.60%,122.18 - 164.90,-1.35%,3.65,60.92,9.50%,18.90%,-9.33%,0.39,2.44%,0.40,4.30%,46.60%,22.37%,2.02,106000,0.60,-0.90%,21.60%,71.99,1.01% 1.46%,Yes,0.80,-4.50%,17.40%,0.83,148.69,Yes,0.47,Apr 21 BMO,61.50%,6.89M,149.51,2.30,4.78%,5.88%,5.60%,"5,721,071",0.55%,1
V,Information Technology,Visa Inc. Class A,1.066523,227.94,"DJIA, S&P 500",32.00,7.16,0.15%,2.06B,3.24%,464.85B,23.68,9.67,-7.59%,1.61B,2.34%,14.86B,2.07,2.09,98.90%,2.03% / 5.21,10.22%,30.19B,15.40,24.50%,0.71%,32.75M,28.91%,16.96,13.50,17.60%,261.48,3.26%,7.94,28.84,15.48%,44.40%,174.60 - 234.30,10.22%,1.80,32.27,20.10%,28.10%,-2.26%,0.96,0.79%,1.40,9.80%,80.40%,31.16%,4.16,26500,1.40,12.40%,63.40%,63.15,1.62% 1.84%,Yes,0.59,8.40%,49.20%,1.02,225.46,Yes,0.59,Jan 26 AMC,22.00%,6.29M,229.00,1.80,3.86%,2.42%,9.85%,"6,419,327",1.57%,1
HD,Consumer Discretionary,Home Depot Inc.,0.875608,297.51,"DJIA, S&P 500",17.84,16.69,0.08%,1.02B,5.85%,292.19B,17.71,16.81,-7.90%,1.01B,-0.24%,17.11B,8.02,3.86,71.70%,1.29% / 3.32,-5.74%,157.40B,1.86,7.40%,0.42%,12.95M,7.90%,1.54,193.33,22.40%,327.56,-0.53%,2.81,105.98,2.22%,-,264.51 - 347.25,-5.74%,8.36,78.82,17.70%,41.70%,-14.26%,0.93,2.81%,0.30,9.30%,33.50%,12.56%,5.82,471600,1.40,0.30%,15.30%,57.49,1.43% 1.95%,Yes,27.65,3.00%,10.90%,1.02,295.12,Yes,26.86,Feb 21 BMO,45.40%,3.90M,297.73,2.30,3.67%,-1.74%,-0.94%,"3,985,117",0.88%,1
TSLA,Consumer Discretionary,Tesla Inc,1.624283,193.16,"NDX, S&P 500 NDQ100",53.73,3.62,0.10%,3.16B,1.54%,580.09B,35.61,5.47,-93.32%,2.64B,-1.53%,12.58B,4.55,0.93,44.80%,3.29% / 0.50,58.12%,81.46B,7.12,121.70%,2.13%,87.00M,-26.57%,14.15,13.76,17.30%,197.61,-45.78%,7.45,26.15,11.80%,32.50%,101.81 - 384.29,58.12%,-,39.41,39.90%,26.10%,-49.32%,2.02,-,1.10,47.30%,25.60%,91.31%,9.64,127855,1.50,37.20%,16.80%,53.16,3.83% 4.59%,Yes,0.07,54.80%,15.40%,0.97,207.46,Yes,0.04,Jan 25 AMC,0.00%,174.77M,194.77,2.40,4.03%,3.87%,-9.76%,"168,835,795",-6.12%,1
CVX,Energy,Chevron Corporation,0.84496,170.39,"DJIA, S&P 500",9.31,18.26,0.08%,1.91B,7.80%,322.51B,11.40,14.91,-20.34%,1.90B,3.02%,35.47B,-,3.54,72.00%,0.82% / 1.73,-5.32%,235.72B,1.37,124.60%,-0.67%,15.47M,18.29%,83.46,2.04,13.80%,191.59,4.37%,9.43,18.02,-8.19%,23.00%,132.54 - 189.68,-5.32%,6.04,12.10,37.10%,15.20%,-10.40%,1.16,3.55%,1.20,11.80%,38.30%,28.23%,4.25,43846,1.50,18.90%,17.80%,64.30,1.33% 2.64%,Yes,0.15,25.80%,15.00%,1.44,163.16,Yes,0.13,Jan 27 BMO,31.00%,8.92M,169.95,2.60,6.98%,2.64%,3.64%,"12,858,704",4.16%,1
MA,Information Technology,Mastercard Incorporated Class A,0.89259,366.22,S&P500,35.84,10.22,10.70%,959.00M,3.34%,345.35B,25.28,14.50,-2.19%,850.70M,1.37%,9.93B,1.84,3.02,78.50%,0.57% / 1.68,5.39%,22.24B,15.53,16.80%,-0.21%,4.86M,28.88%,6.57,55.78,26.50%,426.75,2.54%,7.86,46.62,19.47%,153.60%,276.87 - 390.00,5.39%,2.28,39.02,18.00%,51.50%,-6.03%,1.11,0.62%,1.20,12.20%,-,32.36%,6.55,29900,1.20,11.50%,55.20%,61.64,1.11% 1.81%,Yes,2.23,8.80%,44.70%,1.03,363.41,Yes,2.18,Jan 26 BMO,19.10%,2.89M,366.47,1.80,3.48%,1.17%,7.81%,"2,977,110",0.84%,1
LLY,Health Care,Eli Lilly and Company,0.788438,349.09,S&P500,50.76,6.91,10.90%,952.35M,4.82%,331.37B,29.92,11.72,38.74%,950.53M,10.15%,6.24B,2.21,1.90,84.80%,0.85% / 2.55,-4.13%,28.54B,11.61,12.80%,0.67%,8.12M,8.47%,11.81,29.70,13.10%,381.58,22.48%,2.34,149.82,22.93%,64.70%,276.83 - 384.44,-4.13%,4.52,195.58,10.10%,24.40%,-8.77%,0.36,1.29%,0.80,7.40%,76.80%,26.70%,7.16,39000,1.10,-8.70%,25.00%,70.30,1.58% 2.16%,Yes,1.52,13.50%,21.90%,0.95,343.42,Yes,1.38,Apr 27 BMO,56.60%,3.19M,350.74,2.10,6.76%,5.55%,4.81%,"3,038,571",2.13%,1
PFE,Health Care,Pfizer Inc.,0.666712,41.35,S&P500,7.55,5.47,0.04%,5.61B,2.81%,230.99B,10.98,3.77,-0.50%,5.61B,0.49%,31.37B,-,0.72,70.50%,0.79% / 1.91,-19.30%,100.33B,2.30,39.30%,0.53%,44.14M,-5.51%,17.04,2.43,16.30%,50.97,-20.13%,4.07,10.16,-8.00%,35.10%,39.23 - 56.32,-19.30%,1.64,13.55,22.70%,25.30%,-26.58%,0.62,3.97%,1.00,13.80%,65.50%,5.40%,0.68,83000,1.20,2.80%,36.40%,54.54,1.16% 1.80%,Yes,0.37,30.10%,31.30%,0.90,40.80,Yes,0.34,Jan 31 BMO,28.60%,23.08M,41.35,2.50,2.78%,-1.58%,-11.60%,"20,813,871",1.35%,1
ABBV,Health Care,AbbVie Inc.,0.820473,159.48,S&P500,24.20,6.63,0.13%,1.77B,1.83%,280.43B,14.44,11.11,-11.79%,1.76B,2.79%,11.78B,-,2.87,70.90%,0.80% / 2.21,-0.74%,58.05B,4.83,2.70%,0.10%,14.04M,19.53%,9.74,16.47,8.30%,163.87,-1.04%,5.28,30.39,-2.50%,73.40%,134.09 - 175.91,-0.74%,5.92,19.74,13.30%,20.50%,-8.81%,0.55,3.69%,0.80,15.50%,71.50%,19.64%,2.68,50000,1.00,1.60%,31.20%,64.60,1.29% 1.90%,Yes,3.67,-38.80%,20.30%,0.69,159.37,Yes,3.43,Feb 09 BMO,84.80%,6.34M,160.42,2.40,3.66%,5.71%,7.15%,"4,388,179",0.66%,1
MRK,Health Care,Merck & Co. Inc.,0.785243,108.4,"DJIA, S&P 500",19.06,5.71,0.10%,2.54B,1.81%,275.16B,12.79,8.51,-55.00%,2.53B,1.86%,14.52B,1.82,1.78,76.60%,0.77% / 2.22,-1.87%,59.28B,4.64,17.40%,0.64%,19.54M,26.42%,18.14,6.00,13.50%,118.71,32.69%,5.22,20.86,10.47%,33.30%,81.64 - 115.49,-1.87%,2.92,35.76,25.60%,20.90%,-5.73%,0.36,2.68%,1.20,8.10%,71.00%,33.35%,2.29,69000,1.50,2.30%,30.30%,56.93,1.81% 2.36%,Yes,0.67,-21.40%,24.50%,0.79,106.39,Yes,0.63,Apr 27 BMO,48.80%,8.82M,108.87,2.00,2.12%,1.62%,9.79%,"6,961,570",2.33%,1
META,Communication Services,Meta Platforms Inc. Class A,1.373253,213.08,"NDX, S&P 500 NDQ100",25.49,8.36,0.25%,2.64B,5.04%,541.73B,17.57,12.13,-3.25%,2.20B,15.02%,23.20B,6.43,2.35,75.20%,1.30% / 0.88,77.06%,116.61B,4.65,-41.70%,-1.62%,28.68M,57.04%,47.64,4.47,13.30%,222.88,-4.18%,16.02,13.30,3.97%,18.60%,88.09 - 236.86,77.06%,-,28.45,5.40%,16.00%,-10.04%,1.18,-,2.20,23.50%,78.30%,141.88%,6.33,86482,2.20,-4.50%,24.80%,70.78,2.18% 3.11%,Yes,0.08,-58.10%,19.90%,0.55,211.94,Yes,0.08,Feb 01 AMC,0.00%,32.44M,213.07,2.10,8.50%,18.69%,41.48%,"17,894,333",0.53%,1
PEP,Consumer Staples,PepsiCo Inc.,0.7309,182.4,"NDX, S&P 500 NDQ100",28.18,6.48,0.10%,1.38B,1.68%,249.33B,23.19,7.87,-8.66%,1.38B,5.40%,9.00B,3.73,2.00,74.00%,0.84% / 2.43,1.02%,86.39B,2.89,15.40%,-0.02%,11.59M,11.78%,12.48,14.62,9.60%,190.22,9.03%,3.91,46.62,7.55%,48.90%,154.86 - 186.84,1.02%,4.60,-,4.90%,16.90%,-2.32%,0.54,2.52%,0.60,6.30%,53.50%,17.85%,2.31,315000,0.80,10.90%,12.90%,69.33,0.76% 1.27%,Yes,2.28,-60.50%,10.30%,0.82,182.30,Yes,2.08,Apr 25 BMO,70.20%,4.77M,182.50,2.50,3.45%,4.68%,4.61%,"3,902,209",0.11%,1
KO,Consumer Staples,Coca-Cola Company,0.702813,62.35,"DJIA, S&P 500",28.45,2.19,0.67%,4.33B,1.71%,269.18B,22.29,2.80,-1.36%,4.30B,4.98%,9.54B,4.70,0.73,71.50%,0.52% / 1.60,-1.90%,43.00B,6.26,-2.60%,0.39%,22.19M,11.39%,5.57,11.20,10.20%,68.35,0.65%,2.70,23.14,6.06%,40.30%,54.01 - 67.20,-1.90%,1.84,140.34,14.30%,13.50%,-7.14%,0.54,2.95%,0.90,3.50%,58.10%,15.52%,0.77,82500,1.10,7.00%,24.80%,68.15,0.75% 1.37%,Yes,1.62,-15.80%,22.20%,0.88,62.03,Yes,1.51,Apr 24 BMO,78.90%,13.90M,62.40,2.10,3.14%,3.59%,2.21%,"12,299,586",0.60%,1
BAC,Financials,Bank of America Corp,0.581099,28.57,S&P500,8.98,3.19,0.11%,8.09B,0.35%,226.30B,7.86,3.64,-3.48%,7.98B,-16.31%,26.02B,2.67,0.86,71.00%,1.18% / 1.67,-13.68%,72.56B,3.12,-10.80%,0.34%,94.19M,-5.33%,30.27,0.94,0.80%,39.51,-30.64%,107.36,0.27,3.36%,10.80%,26.32 - 41.74,-13.68%,0.88,-,12.90%,6.30%,-31.50%,1.40,3.08%,-,4.70%,-,8.62%,0.98,217000,-,99.70%,68.80%,39.80,2.28% 3.62%,Yes,2.03,2.90%,35.90%,0.92,28.60,Yes,1.06,Apr 18 BMO,26.80%,56.25M,28.59,2.40,-1.97%,-12.67%,-14.78%,"51,901,400",-0.03%,0
AVGO,Information Technology,Broadcom Inc.,0.780446,639.57,"NDX, S&P 500 NDQ100",21.60,29.74,0.10%,418.00M,2.49%,264.61B,14.53,44.20,-9.40%,414.94M,1.53%,12.60B,2.30,10.13,80.70%,1.37% / 2.47,14.91%,34.41B,7.69,76.80%,3.39%,5.68M,44.70%,55.77,11.52,17.40%,683.14,2.03%,30.71,20.92,9.40%,57.40%,415.07 - 648.50,14.91%,18.40,27.38,45.80%,21.40%,-0.93%,1.12,2.86%,2.30,13.50%,67.00%,54.79%,13.39,20000,2.50,15.70%,44.20%,60.61,1.52% 2.14%,Yes,1.69,57.40%,36.60%,0.68,641.54,Yes,1.64,Mar 02 AMC,55.20%,2.30M,642.47,2.00,1.90%,5.54%,19.98%,"1,568,173",0.14%,1
