period,fecha,interes,cap,amort,residual
1,09/07/2023,1.938,0,0,99.990
2,09/01/2024,2.125,0,0,99.990
3,09/07/2024,2.125,0,0,99.990
4,09/01/2025,2.5,0,0,99.990
5,09/07/2025,2.5,0,0,99.990
6,09/01/2026,2.5,0,0,99.990
7,09/07/2026,2.5,0,0,99.990
8,09/01/2027,2.5,0,0,99.990
9,09/07/2027,2.5,0,4.545,95.445
10,09/01/2028,2.386,0,4.545,90.900
11,09/07/2028,2.273,0,4.545,86.355
12,09/01/2029,2.159,0,4.545,81.810
13,09/07/2029,2.045,0,4.545,77.265
14,09/01/2030,1.932,0,4.545,72.720
15,09/07/2030,1.818,0,4.545,68.175
16,09/01/2031,1.705,0,4.545,63.630
17,09/07/2031,1.591,0,4.545,59.085
18,09/01/2032,1.477,0,4.545,54.540
19,09/07/2032,1.364,0,4.545,49.995
20,09/01/2033,1.25,0,4.545,45.450
21,09/07/2033,1.136,0,4.545,40.905
22,09/01/2034,1.023,0,4.545,36.360
23,09/07/2034,0.909,0,4.545,31.815
24,09/01/2035,0.795,0,4.545,27.270
25,09/07/2035,0.682,0,4.545,22.725
26,09/01/2036,0.568,0,4.545,18.180
27,09/07/2036,0.455,0,4.545,13.635
28,09/01/2037,0.341,0,4.545,9.090
29,09/07/2037,0.227,0,4.545,4.545
30,09/01/2038,0.114,0,4.545,0.000
