period,fecha,interes,cap,amort,residual
1,1/9/2021,1.25,0,0,100
2,1/3/2022,1.95,0,0,100
3,1/9/2022,1.95,0,0,100
4,1/3/2023,2.625,0,0,100
5,1/9/2023,2.625,0,0,100
6,1/3/2024,3.1875,0,1.83,98.17
7,1/9/2024,3.1875,0,1.83,96.34
8,1/3/2025,3.3125,0,2.25,94.09
9,1/9/2025,3.3125,0,2.25,91.84
10,1/3/2026,3.3125,0,2.9,88.94
11,1/9/2026,3.3125,0,2.9,86.04
12,1/3/2027,3.3125,0,3.28,82.76
13,1/9/2027,3.3125,0,3.28,79.48
14,1/3/2028,3.3125,0,3.47,76.01
15,1/9/2028,3.3125,0,3.47,72.54
16,1/3/2029,3.3125,0,3.79,68.75
17,1/9/2029,3.3125,0,3.79,64.96
18,1/3/2030,3.3125,0,3.08,61.88
19,1/9/2030,3.3125,0,3.08,58.8
20,1/3/2031,3.3125,0,3.59,55.21
21,1/9/2031,3.3125,0,3.59,51.62
22,1/3/2032,3.3125,0,3.77,47.85
23,1/9/2032,3.3125,0,3.77,44.08
24,1/3/2033,3.3125,0,3.94,40.14
25,1/9/2033,3.3125,0,3.94,36.2
26,1/3/2034,3.3125,0,4.2,32
27,1/9/2034,3.3125,0,4.2,27.8
28,1/3/2035,3.3125,0,4.4,23.4
29,1/9/2035,3.3125,0,4.4,19
30,1/3/2036,3.3125,0,4.67,14.33
31,1/9/2036,3.3125,0,4.67,9.66
32,1/3/2037,3.3125,0,4.83,4.83
33,1/9/2037,3.3125,0,4.83,0
