Ticker,P/E,P/B,P/S,PEG,Dividend,Debt/Eq
AAPL,28.83,47.53,6.88,3.55,0.54%,1.96
MSFT,33.30,11.75,10.93,2.75,0.89%,0.33
GOOGL,24.24,5.26,4.83,1.38,-,0.05
GOOG,23.22,5.43,-,1.32,-,-
AMZN,-,6.99,2.19,-,-,0.00
BRK-B,-,-,2.39,-,-,-
BRK-A,-,1.56,2.38,-,-,0.26
NVDA,159.39,30.94,24.93,7.52,0.06%,0.50
META,28.84,4.98,5.22,1.56,-,0.10
TSLA,48.37,10.82,5.90,4.54,-,0.06
XOM,8.92,2.51,1.19,-,3.08%,0.21
V,31.08,13.05,15.20,2.12,0.77%,0.56
UNH,22.51,5.91,1.36,1.73,1.34%,0.74
JNJ,34.25,5.57,4.40,7.89,2.91%,0.52
TSM,13.15,4.55,5.61,0.61,2.67%,0.30
WMT,35.33,5.31,0.67,6.94,1.51%,0.58
JPM,10.20,1.55,3.51,-,2.89%,1.07
LLY,62.84,31.87,13.42,2.69,1.14%,1.69
PG,27.23,8.32,4.55,5.06,2.41%,0.83
MA,37.96,67.98,15.61,2.03,0.60%,2.92
CVX,9.23,2.02,1.34,-,3.58%,0.15
HD,18.01,195.16,1.89,7.16,2.78%,27.65
MRK,22.55,6.37,5.05,2.12,2.53%,0.67
NVO,46.43,30.77,11.01,16.58,1.05%,0.31
KO,28.26,11.00,6.33,4.73,2.87%,1.68
ABBV,35.61,15.52,4.63,-,3.92%,3.67
PEP,39.69,15.43,2.97,5.08,2.41%,2.45
AVGO,21.07,11.23,7.49,2.24,2.94%,1.69
ORCL,31.13,-,5.35,3.43,1.69%,-
ASML,33.16,23.29,9.34,1.11,1.56%,0.00
NVS,31.57,4.16,4.48,4.00,3.41%,0.56
BAC,8.83,0.97,2.62,2.63,3.01%,2.03
AZN,48.55,6.34,5.20,3.71,3.33%,0.88
TM,10.37,0.91,0.84,2.73,2.89%,1.03
COST,36.98,9.80,0.95,3.98,0.81%,0.29
PFE,7.10,2.28,2.18,-,4.22%,0.37
BABA,38.34,1.56,1.75,5.67,-,0.16
MCD,31.74,-,9.19,3.70,2.06%,-
TMO,36.15,4.95,4.78,4.21,0.25%,0.78
SHEL,5.43,1.15,0.54,1.81,4.12%,0.44
CRM,962.96,3.34,6.25,49.22,-,0.18
NKE,36.56,13.47,3.82,4.27,1.07%,0.65
CSCO,17.31,4.67,3.59,2.36,3.30%,0.21
ABT,33.50,5.25,4.59,-,1.85%,0.46
TMUS,61.89,2.62,2.30,0.95,-,1.21
DIS,56.38,1.95,2.16,2.62,-,0.50
LIN,44.85,4.56,5.38,4.31,1.38%,0.45
ACN,25.80,7.44,2.75,2.87,1.60%,0.00
ADBE,37.23,12.20,9.47,2.66,-,0.26
CMCSA,31.36,2.11,1.41,4.93,2.80%,1.22
DHR,25.50,3.47,5.45,9.06,0.46%,0.40
SAP,74.94,3.56,4.87,3.70,1.62%,0.32
VZ,7.57,1.76,1.20,-,6.72%,1.65
TTE,8.20,1.36,0.59,-,4.46%,0.53
NEE,22.81,3.57,6.19,2.59,2.44%,1.65
PM,17.86,-,4.79,2.41,5.08%,-
UPS,14.53,7.86,1.54,4.01,3.60%,0.99
MS,15.45,1.63,2.06,3.99,3.45%,7.36
TXN,18.76,9.95,7.69,1.88,2.97%,0.66
