"Fecha de pago",Bono,,,,,,Ticker,Renta,,,,Amortización,,,R+A,,Moneda
2023/01/09,"Bono República Argentina Ley ",,,,,,GD41,1.75,,,,0,,,1.75,,USD
2023/07/09,"Bono República Argentina Ley ",,,,,,GD41,1.75,,,,0,,,1.75,,USD
2024/01/09,"Bono República Argentina Ley ",,,,,,GD41,1.75,,,,0,,,1.75,,USD
2024/07/09,"Bono República Argentina Ley ",,,,,,GD41,1.75,,,,0,,,1.75,,USD
2025/01/09,"Bono República Argentina Ley ",,,,,,GD41,1.75,,,,0,,,1.75,,USD
2025/07/09,"Bono República Argentina Ley ",,,,,,GD41,1.75,,,,0,,,1.75,,USD
2026/01/09,"Bono República Argentina Ley ",,,,,,GD41,1.75,,,,0,,,1.75,,USD
2026/07/09,"Bono República Argentina Ley ",,,,,,GD41,1.75,,,,0,,,1.75,,USD
2027/01/09,"Bono República Argentina Ley ",,,,,,GD41,1.75,,,,0,,,1.75,,USD
2027/07/09,"Bono República Argentina Ley ",,,,,,GD41,1.75,,,,0,,,1.75,,USD
2028/01/09,"Bono República Argentina Ley ",,,,,,GD41,1.75,,,,3.57,,,5.32,,USD
2028/07/09,"Bono República Argentina Ley ",,,,,,GD41,1.69,,,,3.57,,,5.26,,USD
2029/01/09,"Bono República Argentina Ley ",,,,,,GD41,1.63,,,,3.57,,,5.2,,USD
2029/07/09,"Bono República Argentina Ley ",,,,,,GD41,1.56,,,,3.57,,,5.13,,USD
2030/01/09,"Bono República Argentina Ley ",,,,,,GD41,2.09,,,,3.57,,,5.66,,USD
2030/07/09,"Bono República Argentina Ley ",,,,,,GD41,2,,,,3.57,,,5.57,,USD
2031/01/09,"Bono República Argentina Ley ",,,,,,GD41,1.92,,,,3.57,,,5.49,,USD
2031/07/09,"Bono República Argentina Ley ",,,,,,GD41,1.83,,,,3.57,,,5.4,,USD
2032/01/09,"Bono República Argentina Ley ",,,,,,GD41,1.74,,,,3.57,,,5.31,,USD
2032/07/09,"Bono República Argentina Ley ",,,,,,GD41,1.65,,,,3.57,,,5.22,,USD
2033/01/09,"Bono República Argentina Ley ",,,,,,GD41,1.57,,,,3.57,,,5.14,,USD
2033/07/09,"Bono República Argentina Ley ",,,,,,GD41,1.48,,,,3.57,,,5.05,,USD
2034/01/09,"Bono República Argentina Ley ",,,,,,GD41,1.39,,,,3.57,,,4.96,,USD
2034/07/09,"Bono República Argentina Ley ",,,,,,GD41,1.31,,,,3.57,,,4.88,,USD
2035/01/09,"Bono República Argentina Ley ",,,,,,GD41,1.22,,,,3.57,,,4.79,,USD
2035/07/09,"Bono República Argentina Ley ",,,,,,GD41,1.13,,,,3.57,,,4.7,,USD
2036/01/09,"Bono República Argentina Ley ",,,,,,GD41,1.04,,,,3.57,,,4.61,,USD
2036/07/09,"Bono República Argentina Ley ",,,,,,GD41,0.96,,,,3.57,,,4.53,,USD
2037/01/09,"Bono República Argentina Ley ",,,,,,GD41,0.87,,,,3.57,,,4.44,,USD
2037/07/09,"Bono República Argentina Ley ",,,,,,GD41,0.78,,,,3.57,,,4.35,,USD
2038/01/09,"Bono República Argentina Ley ",,,,,,GD41,0.7,,,,3.57,,,4.27,,USD
2038/07/09,"Bono República Argentina Ley ",,,,,,GD41,0.61,,,,3.57,,,4.18,,USD
2039/01/09,"Bono República Argentina Ley ",,,,,,GD41,0.52,,,,3.57,,,4.09,,USD
2039/07/09,"Bono República Argentina Ley ",,,,,,GD41,0.44,,,,3.57,,,4.01,,USD
2040/01/09,"Bono República Argentina Ley ",,,,,,GD41,0.35,,,,3.57,,,3.92,,USD
2040/07/09,"Bono República Argentina Ley ",,,,,,GD41,0.26,,,,3.57,,,3.83,,USD
2041/01/09,"Bono República Argentina Ley ",,,,,,GD41,0.17,,,,3.57,,,3.74,,USD
2041/07/09,"Bono República Argentina Ley ",,,,,,GD41,0.09,,,,3.57,,,3.66,,USD
