,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
AAPL,Information Technology,Apple Inc.,7.095292,152.6,DJIA S&P500,24.86,6.15,0.07%,16.28B,4.00%,2495.77B,23.49,6.51,-1.61%,16.17B,10.62%,101.94B,2.51,1.16,59.70%,0.70%,-5.46%,386.02B,6.47,71.40%,0.08%,1.21,-5.82%,4.14,36.94,28.90%,183.29,2.96%,3.16,48.45,9.91%,152.90%,129.04 - 182.94,-13.86%,0.92,27.41,22.00%,50.00%,-16.39%,1.21,0.60%,0.90,11.10%,43.30%,18.53%,3.83,154000,0.90,8.60%,30.90%,60.54,2.25% 2.57%,Yes,1.78,9.20%,26.40%,0.57,154.09,Yes,1.53,Jul 28 AMC,14.20%,93.05M,152.95,1.90,5.16%,6.79%,-3.56%,"53,333,941",-0.74%
MSFT,Information Technology,Microsoft Corporation,5.831434,258.36,DJIA S&P500,27.00,9.59,0.07%,7.49B,1.80%,1969.11B,24.29,10.66,-0.57%,7.46B,-0.01%,72.46B,1.72,2.29,72.00%,0.52%,-5.55%,192.56B,10.23,39.70%,0.09%,1.24,-12.57%,21.74,11.91,21.40%,344.40,-10.65%,13.76,18.81,15.74%,47.00%,241.51 - 349.67,-23.04%,2.48,42.87,25.70%,28.20%,-25.98%,0.92,0.96%,1.90,13.00%,68.70%,7.17%,6.88,181000,2.00,18.40%,42.50%,48.56,2.40% 2.59%,Yes,0.40,9.10%,37.60%,0.67,260.36,Yes,0.38,Jul 26 AMC,24.50%,31.35M,258.83,1.70,-0.71%,-0.57%,-12.67%,"20,957,681",-0.59%
AMZN,Consumer Discretionary,Amazon.com Inc.,3.207848,116.4,S&P 500,58.58,2.07,9.80%,10.18B,6.49%,1254.78B,47.77,2.54,-0.00%,457.72M,7.74%,21.41B,1.76,0.14,60.70%,19.90%,-16.08%,477.75B,2.63,54.90%,-0.21%,1.02,-15.07%,13.16,9.21,5.40%,170.43,-33.74%,6.41,18.90,33.25%,16.90%,101.26 - 188.11,-27.34%,-,-,67.60%,9.50%,-35.60%,1.28,-,0.70,28.10%,42.10%,19.63%,4.77,1622000,1.00,7.30%,4.10%,58.36,3.61% 4.16%,Yes,0.53,-147.80%,4.50%,0.55,122.42,Yes,0.51,Jul 28 AMC,0.00%,89.60M,121.14,1.70,6.32%,7.49%,-17.96%,"48,978,264",-1.05%
GOOGL,Communication Services,Alphabet Inc. Class A,1.943699,107.0,S&P 500,19.79,5.43,7.70%,13.20B,-1.39%,1504.79B,16.80,6.40,-0.03%,11.82B,-4.22%,74.54B,1.37,1.29,79.20%,0.42%,-10.14%,270.33B,5.57,91.40%,0.00%,1.24,-17.52%,19.24,5.59,21.30%,153.61,-19.17%,9.57,11.23,14.45%,30.20%,101.88 - 151.55,-25.78%,-,21.81,32.10%,24.00%,-29.06%,1.09,-,2.80,23.30%,56.90%,5.52%,4.11,163906,2.90,23.00%,30.50%,41.90,3.72% 3.51%,Yes,0.06,-6.30%,27.60%,0.85,107.90,Yes,0.06,Jul 26 AMC,0.00%,40.34M,107.51,1.70,-5.00%,-4.34%,-18.02%,"34,447,621",-0.36%
GOOG,Communication Services,Alphabet Inc. Class C,1.789776,107.78,S&P 500,18.75,5.77,0.04%,13.20B,-1.55%,1428.82B,16.72,6.47,-20.41%,12.25B,-3.97%,-,1.31,1.31,65.25%,0.29%,-9.53%,270.33B,5.29,-2.00%,-,1.07,-16.82%,19.28,5.61,-,150.05,-21.48%,-,-,14.34%,-,102.21 - 152.10,-25.21%,-,-,-,-,-28.86%,-,-,-,-,-,5.87%,4.07,163906,-,23.00%,-,41.95,3.62% 3.47%,Yes,-,-8.30%,-,0.86,108.36,Yes,-,Jul 26 AMC,-,32.89M,108.21,1.50,-4.97%,-4.13%,-17.73%,"28,159,181",-0.14%
TSLA,Consumer Discretionary,Tesla Inc,2.052482,800.48,S&P 500,163.61,4.92,17.26%,1.00B,11.59%,808.73B,48.50,16.60,-5.34%,857.50M,14.19%,5.52B,3.15,3.13,43.20%,3.16%,-19.87%,53.82B,15.03,669.20%,0.08%,0.87,-14.68%,32.96,24.43,9.20%,879.36,25.17%,17.94,44.90,51.89%,19.00%,620.57 - 1243.49,-23.80%,-,70.54,48.60%,15.70%,-35.24%,2.14,-,1.00,50.40%,25.30%,29.77%,38.27,99290,1.40,80.50%,12.10%,63.53,4.14% 4.94%,Yes,0.14,640.70%,10.30%,0.68,816.73,Yes,0.09,Jul 20 AMC,0.00%,31.19M,805.30,2.50,11.29%,12.87%,-11.36%,"21,199,014",-1.40%
UNH,Health Care,UnitedHealth Group Incorporated,1.466274,529.47,DJIA S&P500,27.66,19.14,0.20%,941.00M,1.94%,497.73B,21.30,24.86,-2.23%,932.93M,5.93%,18.25B,1.92,5.43,89.70%,0.75%,1.64%,306.56B,1.62,12.80%,0.09%,2.04,14.81%,77.33,6.85,8.10%,572.07,26.76%,27.11,19.53,14.42%,24.40%,383.12 - 553.29,5.44%,6.60,34.07,20.10%,16.50%,-4.31%,0.76,1.25%,-,9.20%,-,38.20%,14.42,350000,-,14.20%,7.80%,58.99,2.35% 2.52%,Yes,0.65,3.70%,5.60%,0.68,521.41,Yes,0.56,Jul 15 BMO,30.60%,3.44M,529.47,1.80,2.90%,6.53%,9.63%,"2,332,230",1.55%
JNJ,Health Care,Johnson & Johnson,1.356356,172.46,DJIA S&P500,25.07,6.88,0.10%,2.63B,-1.02%,451.68B,16.18,10.66,-4.30%,2.63B,-4.01%,18.37B,6.16,2.52,70.30%,0.54%,-5.00%,95.59B,4.73,44.70%,-0.06%,1.96,4.60%,28.42,6.07,11.70%,187.84,0.39%,11.60,14.86,4.07%,28.90%,155.72 - 186.69,0.81%,4.52,51.76,5.70%,19.40%,-7.62%,0.61,2.62%,1.10,5.50%,67.90%,10.75%,3.04,141700,1.40,5.00%,23.80%,42.39,1.64% 1.64%,Yes,0.44,-16.70%,21.80%,0.61,172.12,Yes,0.39,Jul 19 BMO,39.60%,7.28M,172.46,2.30,-2.35%,-2.16%,0.76%,"4,425,039",0.20%
XOM,Energy,Exxon Mobil Corporation,1.098545,89.98,S&P 500,14.94,6.02,0.07%,4.27B,4.51%,382.02B,9.05,9.94,-35.09%,4.21B,5.60%,25.74B,0.62,3.74,56.90%,0.93%,5.70%,306.87B,1.24,202.20%,0.13%,1.34,24.68%,39.67,2.27,7.50%,103.36,57.75%,2.61,34.50,23.92%,15.70%,52.10 - 105.57,47.05%,3.52,15.22,23.40%,7.20%,-14.77%,1.04,3.91%,0.80,6.60%,30.50%,72.71%,3.38,63000,1.10,52.40%,8.80%,54.04,2.73% 3.17%,Yes,0.28,100.70%,8.40%,0.60,87.08,Yes,0.25,Jul 29 BMO,58.00%,29.27M,89.98,2.40,4.03%,-1.26%,15.98%,"17,505,325",3.33%
META,Communication Services,Meta Platforms Inc. Class A,1.162617,165.75,S&P 500,12.61,13.21,0.55%,2.73B,-0.35%,488.04B,12.38,13.46,-0.01%,2.28B,4.98%,37.34B,1.67,2.60,76.70%,1.25%,-9.48%,119.67B,4.08,36.40%,-0.31%,0.87,-45.03%,45.22,3.69,22.30%,278.73,-54.93%,14.99,11.12,7.53%,28.70%,154.25 - 384.33,-50.45%,-,12.27,31.60%,31.00%,-56.64%,1.42,-,2.80,33.70%,80.30%,8.04%,7.41,77805,2.80,6.60%,36.70%,46.46,3.71% 3.83%,Yes,0.00,-17.40%,31.20%,0.80,169.27,Yes,0.00,Jul 27 AMC,0.00%,32.61M,166.65,2.10,-0.73%,-6.12%,-33.65%,"26,050,398",-1.55%
